astar	1	0.125174
bwaves	2	0.068217
bzip2	3	0.208261
cactusADM	4	0.195343
calculix	5	0.247090
gcc	6	0.307768
GemsFDTD	7	0.309083
gobmk	8	0.187007
gromacs	9	0.154397
h264ref	10	0.230651
hmmer	11	0.179316
lbm	12	0.797424
leslie3d	13	0.692784
libquantum	14	0.338352
mcf	15	0.442526
milc	16	0.301429
namd	17	0.131519
omnetpp	18	0.009873
perlbench	19	0.264551
povray	20	0.279269
soplex	21	0.512604
sphinx3	22	0.049384
tonto	23	0.247332
wrf	24	0.168410
xalancbmk	25	0.140335
